kb_item,item_id,vci_item,vci_item_id,item_en
D. VỐN CHỦ SỞ HỮU,d.owners_equity,Vốn chủ sở hữu,bsa78,Owner's Equity
I. Vốn chủ sở hữu,i.owners_equity,Vốn và các quỹ,bsa79,Capital and reserves
1. Vốn góp của chủ sở hữu,n_1.owners_capital,Vốn góp,bsa80,Paid-in capital
- Cổ phiếu phổ thông có quyền biểu quyết,common_stock_with_voting_right,Cổ phiếu phổ thông,bsa175,Common shares
- Cổ phiếu ưu đãi,preferred_stock,Cổ phiếu ưu đãi,bsa120,Preferred shares
2. Thặng dư vốn,n_2.share_premium,Thặng dư vốn cổ phần,bsa81,Share premium
3. Quyền chọn chuyển đổi trái phiếu,n_3.convertible_bond_option,Quyền chọn chuyển đổi trái phiếu,bsa176,Conversion options on convertible bonds
4. Vốn khác của chủ sở hữu,n_4.other_capital_of_owners,Vốn khác,bsa82,Owner's other capital
5. Cổ phiếu mua lại của chính mình (*),n_5.treasury_shares,Cổ phiếu quỹ,bsa83,Treasury shares
6. Chênh lệch đánh giá lại tài sản,n_6.assets_revaluation_differences,Chênh lệch đánh giá lại tài sản,bsa84,Differences upon asset revaluation
7. Chênh lệch tỷ giá hối đoái,n_7.foreign_exchange_differences,Chênh lệch tỷ giá,bsa85,Foreign exchange differences
8. Quỹ đầu tư phát triển,n_8.investment_and_development_fund,Quỹ đầu tư và phát triển,bsa86,Investment and development funds
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,n_9.fund_to_support_corporate_restructuring,Quỹ hỗ trợ sắp xếp doanh nghiệp,bsa91,Enterprise arrangement fund
9. Quỹ khác thuộc vốn chủ sở hữu,n_9.other_funds_from_owners_equity,Quỹ khác,bsa89,Other funds
10. Lợi nhuận sau thuế chưa phân phối,n_10.undistributed_earnings_after_tax,Lãi chưa phân phối,bsa90,Undistributed earnings
- LNST chưa phân phối lũy kế đến cuối kỳ trước,accumulated_retained_earning_at_the_end_of_the_previous_period,LNST chưa phân phối lũy kế đến cuối kỳ trước,bsa177,Beginning accumulated undistributed earnings
- LNST chưa phân phối kỳ này,undistributed_earnings_in_this_period,LNST chưa phân phối kỳ này,bsa178,Current period undistributed earnings
12. Nguồn vốn đầu tư XDCB,n_12.reserves_for_investment_in_construction,Vốn Ngân sách nhà nước và quỹ khác,bsa92,Budget sources and other funds
13. Lợi ích cổ đông không kiểm soát,n_13.minority_interest,Lợi ích cổ đông không kiểm soát,bsa210,Minority interests
14. Quỹ dự phòng tài chính,n_14.financial_reserves,Quỹ dự phòng tài chính,bsa87,Financial reserve funds
II. Nguồn kinh phí và quỹ khác,ii.other_resources_and_funds,Vốn ngân sách nhà nước và quỹ khác,bsa94,Budget sources and other funds
1. Nguồn kinh phí,n_1.funding_sources,Vốn Ngân sách nhà nước và quỹ khác,bsa92,Budget sources and other funds
2. Nguồn kinh phí đã hình thành TSCĐ,n_2.funds_used_to_form_fixed_assets,Nguồn kinh phí đã hình thành TSCĐ,bsa211,Funds used for fixed asset acquisitions
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,c.minority_interest,Lợi ích của cổ đông thiểu số,bsa95,Minority interests (Before 2015)
TỔNG CỘNG NGUỒN VỐN,total_owners_equity_and_liabilities,Tổng cộng nguồn vốn,bsa96,Total resource
